absolutely;B1;безусловно;абсолютно
angle;B1;угол;точка зрения
anniversary;B1;годовщина;юбилей
annual;B1;ежегодный;годовой
anxious;B1;озабоченный;беспокоящийся
apparent;B1;очевидный;несомненный
apparently;B1;вероятно;по-видимому
appeal;B1;обращение;призыв
approach;B1;подход;метод
appropriate;B1;соответствующий;подходящий
approval;B1;одобрение;утверждение
approve;B1;одобрять;Утверждение
arise;B1;возникать;появляться
armed;B1;вооружённый;укрепленный
arms;B1;руки;
artificial;B1;искусственный;ненатуральный
artistic;B1;художественный;артистический
ashamed;B1;пристыженный;пристыжённый
aspect;B1;аспект;сторона
assess;B1;оценивать;
assessment;B1;оценка;аттестация
associate;B1;ассоциировать;партнёр
associated;B1;связанный;объединенный
association;B1;ассоциация;связь
assume;B1;предполагать;допускать
attempt;B1;пытаться;делать попытку
back;B1;спина;назад
bacteria;B1;бактерия;бактерии
bar;B1;бар;плитка шоколада
barrier;B1;барьер;шлагбаум
basically;B1;в основном;по существу
battle;B1;битва;сражение
bear;B1;терпеть;выносить
beat;B1;бить;ударять
beg;B1;просить;умолять
being;B1;существование;бытие
benefit;B1;выгода;извлекать пользу
bent;B1;наклоняться;сгибать
bet;B1;держать пари;ставка
better;B1;лучше;
beyond;B1;за;по ту сторону
bill;B1;счёт;законопроект
bitter;B1;горький;горький (о вкусе)
chief;B1;руководитель;глава
circumstance;B1;обстоятельство;обстоятельства
cite;B1;цитировать;ссылаться
citizen;B1;гражданин;горожанин
civil;B1;гражданский;вежливый
classic;B1;классический;
close;B1;закрывать;близко
closely;B1;внимательно;близко
collapse;B1;рушиться;обваливаться
combination;B1;сочетание;комбинация
comfort;B1;утешение;удобства
command;B1;владение;управлять
commission;B1;комиссия;поручать
commitment;B1;обязательство;ответственное отношение
committee;B1;комиссия;комитет
commonly;B1;обычно;обыкновенно
complex;B1;сложный;составной
complicated;B1;сложный;трудный для понимания
component;B1;компонент;составляющая
concentration;B1;концентрация;сосредоточенность
concept;B1;идея;понятие
concern;B1;беспокойство;забота
concerned;B1;озабоченный;встревоженный
conduct;B1;проводить;вести
confidence;B1;уверенность;доверие
confident;B1;самоуверенный;уверенный
confirm;B1;подтверждать;подкреплять
conflict;B1;конфликт;столкновение
confuse;B1;смущать;путать
confused;B1;смущённый;спутанный, озадаченный
confusing;B1;сбивающий с толку;путаница
connection;B1;соединение;связь
conscious;B1;сознательный;осознанный
consequence;B1;последствие;следствие
conservative;B1;консервативный;умеренный
consideration;B1;рассмотрение;обсуждение
consist;B1;состоять;
consistent;B1;последовательный;стойкий
constant;B1;постоянный;неизменный
constantly;B1;постоянно;часто
construct;B1;сооружать;конструкция
construction;B1;строительство;стройка
consume;B1;потреблять;расходовать
consumer;B1;потребитель;клиент
contact;B1;контакты;устанавливать связь
container;B1;контейнер;емкость
contemporary;B1;современный;современник
content;B1;содержание;
contest;B1;соревнование;конкурс
continuous;B1;непрерывный;постоянный
contract;B1;договор;сжиматься
